AppID,Name,Release date,Price,Positive,Negative,Categories,Genres,Tags,Peak CCU,Estimated owners,Rating,LogPrice,PriceTier,TotalReviews,PosRatio,ReleaseDate,ReleaseYear,ReleaseMonth,OwnersNum,LogPeakCCU,CategoryCount,GenreCount,TagCount,MainGenre,Genre_Action,Genre_Adventure,Genre_Animation & Modeling,Genre_Audio Production,Genre_Casual,Genre_Design & Illustration,Genre_Free To Play,Genre_Gore,Genre_Indie,Genre_Massively Multiplayer,Genre_Nudity,Genre_RPG,Genre_Racing,Genre_Sexual Content,Genre_Simulation,Genre_Software Training,Genre_Sports,Genre_Strategy,Genre_Utilities,Genre_Violent,Tier_Free,Tier_Cheap,Tier_Mid,Tier_Premium,Tier_High
235620,Small World,"Dec 11, 2013",9.99,990,439,"Single-player,Multi-player,PvP,Online PvP,LAN PvP,Shared/Split Screen PvP,Shared/Split Screen,Cross-Platform Multiplayer,Steam Trading Cards,Steam Turn Notifications,Remote Play Together,Family Sharing","Casual,Indie,Strategy","Board Game,Strategy,Tabletop,Casual,Indie,Turn-Based,Multiplayer,Singleplayer,Fantasy,Local Multiplayer,Family Friendly,Asynchronous Multiplayer,4 Player Local,Touch-Friendly,2D,Satire,Kickstarter,PvP,Crafting,Difficult",21,200000 - 500000,0.6927921623512946,2.3969857684155302,Mid,1429,0.6927921623512946,2013-12-11,2013.0,12.0,350000.0,3.091042453358316,12.0,3.0,20,Casual,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
1620340,Wrestling Empire,"Jul 2, 2021",19.99,2096,111,"Single-player,Multi-player,PvP,Shared/Split Screen PvP,Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Full controller support,Family Sharing","Action,Indie,RPG,Simulation,Sports","Sports,Wrestling,3D Fighter,Character Customization,Simulation,Choices Matter,3D,Beat 'em up,Immersive Sim,Cartoony,Colorful,Third Person,Martial Arts,1980s,Combat,4 Player Local,Local Co-Op,Local Multiplayer,Singleplayer,Multiplayer",78,100000 - 200000,0.9497054825555052,3.0440461338325413,Mid,2207,0.9497054825555052,2021-07-02,2021.0,7.0,150000.0,4.3694478524670215,9.0,5.0,20,Action,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
525040,The Disney Afternoon Collection,"Apr 18, 2017",19.99,790,102,"Single-player,Multi-player,Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud,Steam Leaderboards,Remote Play Together,Family Sharing",Action,"Retro,Classic,Platformer,Action,2D,1990's,Pixel Graphics,Great Soundtrack,Cartoon,Adventure,Family Friendly,Singleplayer,Nostalgia",6,20000 - 50000,0.8856502242152466,3.0440461338325413,Mid,892,0.8856502242152466,2017-04-18,2017.0,4.0,35000.0,1.9459101490553132,12.0,1.0,13,Action,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
654890,Grand Tactician: The Civil War (1861-1865),"Sep 24, 2021",44.99,1577,482,"Single-player,Family Sharing",Strategy,"Strategy,Historical,RTS,Grand Strategy,War,Real Time Tactics,Wargame,Tactical,Singleplayer,America",151,20000 - 50000,0.7659057795046139,3.8284239815518326,Premium,2059,0.7659057795046139,2021-09-24,2021.0,9.0,35000.0,5.0238805208462765,2.0,1.0,10,Strategy,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
1522280,Grim Realms,"Mar 16, 2024",14.99,290,83,"Single-player,Steam Achievements,Steam Workshop,Includes level editor,Family Sharing","Indie,Simulation,Strategy","Colony Sim,Crafting,Base-Building,Strategy,Indie,Simulation,Survival,2D,Building,Sandbox,Management,Pixel Graphics,Zombies,Tower Defense",5,0 - 20000,0.7774798927613941,2.771963526845863,Mid,373,0.7774798927613941,2024-03-16,2024.0,3.0,10000.0,1.791759469228055,5.0,3.0,14,Indie,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
1069650,Ultimate Admiral: Age of Sail,"Apr 7, 2021",29.99,1497,394,"Single-player,Steam Achievements,Family Sharing","Indie,Simulation,Strategy","Strategy,Simulation,Indie,Naval Combat,Naval,Historical,Difficult,Sailing,RTS,Singleplayer,Wargame,Vehicular Combat,War,Early Access",65,50000 - 100000,0.7916446324695928,3.433664571799657,Premium,1891,0.7916446324695928,2021-04-07,2021.0,4.0,75000.0,4.189654742026425,3.0,3.0,14,Indie,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1568970,Torn Away,"Sep 29, 2023",9.74,511,34,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Family Sharing","Adventure,Indie","Story Rich,Atmospheric,Female Protagonist,Adventure,World War II,War,Cartoony,Cartoon,Drama,Emotional,Family Friendly,Hand-drawn,Puzzle-Platformer,Walking Simulator,Point & Click,Cute,Visual Novel,Exploration,2D Platformer,Indie",2,0 - 20000,0.9376146788990826,2.3739750890807185,Mid,545,0.9376146788990826,2023-09-29,2023.0,9.0,10000.0,1.0986122886681096,5.0,2.0,20,Adventure,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
450950,Danmaku Unlimited 3,"Mar 9, 2017",9.99,185,25,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards,Family Sharing","Action,Indie","Bullet Hell,Action,Indie,Shoot 'Em Up,Arcade,Sci-fi,Great Soundtrack",0,20000 - 50000,0.8809523809523809,2.3969857684155302,Mid,210,0.8809523809523809,2017-03-09,2017.0,3.0,35000.0,0.0,7.0,2.0,7,Action,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
1399370,Cute Honey 2,"Sep 30, 2020",1.99,1118,335,"Single-player,Steam Achievements,Steam Cloud,Family Sharing","Casual,Strategy","Sexual Content,Nudity,Mature,Anime,NSFW,Casual,Hentai,Story Rich,Puzzle,Dating Sim,Strategy,Shooter,Singleplayer,Idler,Clicker,Puzzle-Platformer,Cartoon,Cute,Action-Adventure,Visual Novel",2,100000 - 200000,0.7694425326909842,1.095273387402595,Cheap,1453,0.7694425326909842,2020-09-30,2020.0,9.0,150000.0,1.0986122886681096,4.0,2.0,20,Casual,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1373220,Live the Life,"Sep 16, 2020",19.99,343,208,"Single-player,Family Sharing","Indie,RPG,Simulation,Strategy,Early Access","Life Sim,Simulation,Character Customization,Management,Building,Open World,Sandbox,Economy,Survival,Perma Death,Early Access,First-Person,Physics,RPG,Singleplayer,Indie,Strategy,Nudity,Relaxing,6DOF",6,50000 - 100000,0.6225045372050817,3.0440461338325413,Mid,551,0.6225045372050817,2020-09-16,2020.0,9.0,75000.0,1.9459101490553132,2.0,5.0,20,Indie,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
