AppID,Name,Release date,Price,Positive,Negative,Categories,Genres,Tags,Rating
634340,Legend of Himari,"Mar 19, 2018",0.99,342,41,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,In-App Purchases,Steam Cloud,Steam Leaderboards,Family Sharing","Casual,Indie","Indie,Casual,Anime,Female Protagonist,Pixel Graphics,Singleplayer,Action,Arcade,Side Scroller,Cute,2D,Hack and Slash,Adventure,RPG,Score Attack,Beat 'em up,Fighting,Third Person,Old School,Retro",0.8929503916449086
275470,Chip,"Apr 25, 2014",0.79,959,197,"Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud,Steam Leaderboards,Family Sharing","Action,Indie,Strategy","Indie,Puzzle,Strategy,Action,Robots,Casual,Isometric",0.8295847750865052
332950,Dark Deception,"Sep 26, 2018",0.0,17151,2055,"Single-player,Steam Achievements,Captions available,Steam Cloud","Action,Adventure,Indie,Free To Play","Horror,Free to Play,Multiplayer,Singleplayer,First-Person,Psychological Horror,Runner,Survival Horror,Indie,Action,Dark Humor,Survival,Adventure,Story Rich,RPG,Arcade,Multiple Endings,Cinematic,Dark,Difficult",0.8930021868166198
38600,Faerie Solitaire,"Sep 17, 2010",1.49,2282,228,"Single-player,Steam Achievements,Steam Trading Cards,Family Sharing","Casual,Indie,RPG","Solitaire,Casual,Board Game,Card Game,Tabletop,RPG,Cute,Relaxing,Puzzle,Colorful,Family Friendly,Fantasy,Dark Fantasy,Adventure,Beautiful,Singleplayer,Addictive,Epic,Great Soundtrack,Indie",0.9091633466135458
1241950,Warzone 2100,"Feb 18, 2020",0.0,1262,139,"Single-player,Multi-player,PvP,Online PvP,LAN PvP,Co-op,Online Co-op,LAN Co-op,Steam Cloud","Free To Play,Strategy","Strategy,Free to Play,RTS,Base-Building,War,Real Time Tactics,Classic,Futuristic,Multiplayer,Singleplayer,Sci-fi,Post-apocalyptic,1990's",0.900785153461813
1297330,Olija,"Jan 28, 2021",14.99,670,63,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Family Sharing","Action,Adventure,Indie","Fantasy,Action,Adventure,Indie,Action-Adventure,Character Action Game,Exploration,Platformer,2D Platformer,Hack and Slash,Precision Platformer,Pixel Graphics,Side Scroller,2D,Cinematic,Cartoony,Stylized,Colorful,Atmospheric,Assassin",0.9140518417462483
1098080,3000th Duel,"Dec 12, 2019",14.99,425,159,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Family Sharing","Action,Adventure,Indie","Action,Adventure,Souls-like,Metroidvania,Indie,Platformer,Difficult,Dark Fantasy,Side Scroller,Hack and Slash,2D,Singleplayer,Exploration,Atmospheric,2.5D,Open World,Great Soundtrack,Controller,RPG",0.7277397260273972
1323830,Shanghai Summer,"Feb 7, 2024",12.99,313,23,"Single-player,Steam Achievements,Full controller support,Family Sharing","Adventure,Indie,RPG","Multiple Endings,Story Rich,Visual Novel,Anime,Cute,Dating Sim,Mystery,Time Travel,Adventure,Word Game,Investigation,2D,Interactive Fiction,RPG,Romance,Hand-drawn,Text-Based,Narration,Singleplayer,Drama",0.9315476190476191
439910,Risky Rescue,"Feb 19, 2016",0.99,304,88,"Single-player,Multi-player,Cross-Platform Multiplayer,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards,Family Sharing","Action,Casual,Indie","Casual,Action,Indie,Multiplayer",0.7755102040816326
276340,My Riding Stables: Life with Horses,"Mar 27, 2014",14.99,206,31,"Single-player,Family Sharing","Casual,Simulation,Sports","Casual,Simulation,Horses,Sports,Family Friendly,Female Protagonist",0.869198312236287
115210,American Conquest,"Aug 26, 2011",4.99,402,189,"Single-player,Family Sharing",Strategy,"Strategy,RTS,Historical,Singleplayer,Multiplayer",0.6802030456852792
1502660,Untrusted,"May 9, 2021",4.99,830,151,"Multi-player,Cross-Platform Multiplayer,Steam Achievements,In-App Purchases","Indie,RPG","Multiplayer,Social Deduction,Hacking,Online Co-Op,Text-Based,Cyberpunk,Investigation,Party-Based RPG,Tabletop,RPG,Puzzle,Mystery,PvP,Minimalist,2D,Choices Matter,Tutorial,Turn-Based Tactics,Typing,Crime",0.8460754332313966
